task,model_id,kind,deployment_role,repeat,seed,fold,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision,tp,fp,tn,fn
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,1,0.33489964550018664,198,52,0.6464646464646465,0.6116965226554267,0.4444444444444444,0.3783783783783784,0.5384615384615384,0.684931506849315,0.5864678582704189,0.12546501578709499,0.6188092729188619,0.4179327682039322,28,46,100,24
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,1,0.7331727810592612,198,164,0.6717171717171717,0.7318866571018652,0.7636363636363637,0.9459459459459459,0.6402439024390244,0.8235294117647058,0.38604282677714286,0.0974898705570452,0.8258608321377332,0.9516975947821322,105,6,28,59
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,2,0.25561318700224406,198,52,0.5757575757575758,0.6194678609062171,0.46835443037974683,0.3490566037735849,0.7115384615384616,0.5273972602739726,0.5820332714426851,0.06993956074754573,0.6325079030558484,0.413971578948363,37,69,77,15
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,2,0.707720221013113,198,164,0.7575757575757576,0.7370875179340028,0.84,0.9264705882352942,0.7682926829268293,0.7058823529411765,0.4121996651499565,0.09268203868636148,0.7675753228120518,0.9325197399325413,126,10,24,38
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,3,0.29351403109686564,197,51,0.6294416243654822,0.647931775449906,0.48951048951048953,0.3804347826086957,0.6862745098039216,0.6095890410958904,0.5331034801221101,0.09420001312347956,0.7080311576685469,0.4346871783616617,35,57,89,16
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,3,0.599844268165935,197,163,0.7614213197969543,0.6463370624323349,0.8507936507936508,0.881578947368421,0.8220858895705522,0.47058823529411764,0.42643404882144703,0.07998563707273336,0.7416095272464813,0.9333895107030211,134,18,16,29
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,4,0.22829597936414342,197,51,0.5126903553299492,0.6138195004029009,0.4666666666666667,0.32558139534883723,0.8235294117647058,0.4041095890410959,0.5395964401044456,0.08831054050636648,0.7009132420091325,0.48554129699940085,42,87,59,9
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,4,0.6992551990708903,197,163,0.7360406091370558,0.7473836160230963,0.8206896551724138,0.937007874015748,0.7300613496932515,0.7647058823529411,0.3854920186600017,0.10442216106465362,0.8222663298448214,0.9500553393296468,119,8,26,44
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,0,0.259976045591778,198,52,0.5606060606060606,0.5968124341412013,0.445859872611465,0.3333333333333333,0.6730769230769231,0.5205479452054794,0.5715575295660342,0.0736086937124968,0.6417281348788197,0.41301924859009104,35,70,76,17
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,0,0.7626421689519092,198,164,0.6616161616161617,0.6675035868005739,0.7632508833922261,0.907563025210084,0.6585365853658537,0.6764705882352942,0.4079683899466984,0.07282663005667299,0.7702654232424677,0.9397130773254844,108,11,23,56
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,1,0.3366112473353999,198,52,0.6919191919191919,0.648709167544784,0.48739495798319327,0.43283582089552236,0.5576923076923077,0.7397260273972602,0.5537457440715763,0.06319056714422625,0.6816385669125394,0.46314047032829225,29,38,108,23
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,1,0.7582587485821028,198,164,0.6161616161616161,0.6750358680057389,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.7647058823529411,0.4448568291906887,0.08427615811472942,0.7297345767575324,0.9297195413370086,96,8,26,68
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,2,0.31302064299821974,198,52,0.6262626262626263,0.6660958904109588,0.5131578947368421,0.39,0.75,0.5821917808219178,0.5140172178160762,0.08138428698732413,0.7525026343519493,0.5578835177570909,39,61,85,13
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,2,0.7124648618694667,198,164,0.7575757575757576,0.8070301291248206,0.8333333333333334,0.967741935483871,0.7317073170731707,0.8823529411764706,0.36284616118081775,0.11630662676615192,0.8787661406025825,0.9728598646109738,120,4,30,44
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,3,0.32361671797791436,197,51,0.6192893401015228,0.6602202524845555,0.5033112582781457,0.38,0.7450980392156863,0.5753424657534246,0.531029717377723,0.1211623062211867,0.738248724147193,0.5413382692280477,38,62,84,13
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,3,0.7071259897717396,197,163,0.7614213197969543,0.6579754601226994,0.8498402555910544,0.8866666666666667,0.8159509202453987,0.5,0.4106217320015113,0.0482098590328036,0.7464814146517502,0.9218615930209855,133,17,17,30
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,4,0.3815310916722145,197,51,0.6954314720812182,0.6095218909481601,0.4230769230769231,0.41509433962264153,0.43137254901960786,0.7876712328767124,0.5770857210439744,0.07170932505441516,0.6635777598710717,0.38878424527428357,22,31,115,29
