model_id,kind,deployment_role,repeat,seed,fold,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,adjacent_accuracy,two_grade_error_rate,quadratic_weighted_kappa,severe_auroc_from_prob_3
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,4,197,0.5380710659898477,0.5775560224089636,0.515387722089883,0.5177664974619289,0.9441624365482234,0.05583756345177665,0.38203895775360486,0.6539752887456354
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,3,20260608,0,198,0.5555555555555556,0.5802898082309847,0.5157312704428638,0.5151515151515151,0.9292929292929293,0.0707070707070707,0.3361188486536676,0.5848261327713382
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,3,20260608,1,198,0.5606060606060606,0.5764382676147382,0.51089072543618,0.5555555555555556,0.8838383838383839,0.11616161616161616,0.24868651488616456,0.6211801896733404
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,3,20260608,2,198,0.5606060606060606,0.6003959276018099,0.5269445808105603,0.5353535353535354,0.9040404040404041,0.09595959595959595,0.31190269331016507,0.6583245521601686
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,3,20260608,3,197,0.49238578680203043,0.5166316526610645,0.47019035271392057,0.5736040609137056,0.934010152284264,0.06598984771573604,0.3053702341391643,0.5952189094816008
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,3,20260608,4,197,0.47715736040609136,0.51453081232493,0.4573708199882394,0.6192893401015228,0.9035532994923858,0.09644670050761421,0.2451745773265004,0.6545796400752082
image_efficientnet_b0,image_only,primary image-only baseline,1,20260606,0,198,0.5707070707070707,0.5382730015082956,0.5373737373737374,0.45454545454545453,0.9747474747474747,0.025252525252525252,0.4161358811040339,0.7050842992623814
image_efficientnet_b0,image_only,primary image-only baseline,1,20260606,1,198,0.5,0.44529734970911444,0.44804147465437794,0.5353535353535354,0.9646464646464646,0.03535353535353535,0.2794759825327512,0.6447576396206534
image_efficientnet_b0,image_only,primary image-only baseline,1,20260606,2,198,0.5707070707070707,0.5587965955613015,0.5431761221234904,0.46464646464646464,0.9646464646464646,0.03535353535353535,0.42105263157894723,0.7662012644889357
image_efficientnet_b0,image_only,primary image-only baseline,1,20260606,3,197,0.583756345177665,0.5606909430438842,0.5502456507780654,0.4619289340101523,0.9543147208121827,0.04568527918781726,0.3768898174748265,0.6637120601665323
image_efficientnet_b0,image_only,primary image-only baseline,1,20260606,4,197,0.49746192893401014,0.46527777777777773,0.4552845528455285,0.5482233502538071,0.9543147208121827,0.04568527918781726,0.294187898089172,0.7031963470319634
image_efficientnet_b0,image_only,primary image-only baseline,2,20260607,0,198,0.5454545454545454,0.5063429217840982,0.5015419963432196,0.48484848484848486,0.9696969696969697,0.030303030303030304,0.3806047966631909,0.7266859852476291
image_efficientnet_b0,image_only,primary image-only baseline,2,20260607,1,198,0.5,0.46913380736910143,0.4641392761186794,0.5505050505050505,0.9494949494949495,0.050505050505050504,0.26514759192128434,0.6161749209694415
