model_id,repeat,seed,fold,task,threshold_source,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision
age_sex,2,20260607,4,level_3_vs_lower,validation_youden,0.49426948,197,51,0.7309644670050761,0.5441847972065539,0.2318840579710145,0.4444444444444444,0.1568627450980392,0.9315068493150684,0.5706276195555741,0.08510400545858313,0.6293311845286059,0.4129107461694105
age_sex,3,20260608,0,level_1_vs_higher,validation_youden,0.6266042000000001,198,164,0.797979797979798,0.8081061692969871,0.8666666666666667,0.9558823529411765,0.7926829268292683,0.8235294117647058,0.4029753228111681,0.14741901336418034,0.8815459110473458,0.972149058635793
age_sex,3,20260608,0,level_3_vs_lower,validation_youden,0.44335072,198,52,0.7171717171717171,0.5234457323498419,0.17647058823529413,0.375,0.11538461538461539,0.9315068493150684,0.5996843992811959,0.08818184435069058,0.506059009483667,0.2946505593236458
age_sex,3,20260608,1,level_1_vs_higher,validation_youden,0.64626649,198,164,0.7070707070707071,0.7415710186513629,0.795774647887324,0.9416666666666667,0.6890243902439024,0.7941176470588235,0.44602700194884226,0.1469195057923397,0.8091822094691534,0.9369894330490303
age_sex,3,20260608,1,level_3_vs_lower,validation_youden,0.39224364,198,52,0.696969696969697,0.553082191780822,0.3023255813953488,0.38235294117647056,0.25,0.8561643835616438,0.5880978591119493,0.0845540342035618,0.5375395152792413,0.3246460724337015
age_sex,3,20260608,2,level_1_vs_higher,validation_youden,0.78660882,198,164,0.5808080808080808,0.7469512195121951,0.6612244897959184,1.0,0.49390243902439024,1.0,0.35723040861448513,0.09648796674853675,0.9094332855093256,0.9792524136690328
age_sex,3,20260608,2,level_3_vs_lower,validation_youden,0.43823061,198,52,0.7373737373737373,0.5619072708113804,0.2777777777777778,0.5,0.19230769230769232,0.9315068493150684,0.5773152278108723,0.0800678131282342,0.6034641728134879,0.35359297933262374
age_sex,3,20260608,3,level_1_vs_higher,validation_youden,0.7843389778433898,197,163,0.6548223350253807,0.7332190544929629,0.746268656716418,0.9523809523809523,0.6134969325153374,0.8529411764705882,0.41895348301028507,0.044760078092442535,0.7956513893901119,0.9413198110140003
age_sex,3,20260608,3,level_3_vs_lower,validation_youden,0.47044324,197,51,0.7715736040609137,0.6098576416868118,0.3835616438356164,0.6363636363636364,0.27450980392156865,0.9452054794520548,0.5723655567165232,0.10347629631915992,0.6655922643029816,0.47997020985555994
age_sex,3,20260608,4,level_1_vs_higher,validation_youden,0.63850658,197,163,0.7258883248730964,0.7063334536268495,0.8163265306122449,0.916030534351145,0.7361963190184049,0.6764705882352942,0.4223656689387269,0.06395174388856094,0.8009743774810537,0.9215612603435934
age_sex,3,20260608,4,level_3_vs_lower,validation_youden,0.46577854,197,51,0.7309644670050761,0.6015981735159818,0.39080459770114945,0.4722222222222222,0.3333333333333333,0.8698630136986302,0.5689320407374778,0.11543809422772261,0.6385307547676605,0.44404515845185955
downstream_plus_age_sex,1,20260606,0,level_1_vs_higher,validation_youden,0.62425646,198,164,0.7878787878787878,0.790351506456241,0.86,0.9485294117647058,0.7865853658536586,0.7941176470588235,0.39289354021984413,0.15247017435998966,0.882980631276901,0.9726734280512641
downstream_plus_age_sex,1,20260606,0,level_3_vs_lower,validation_youden,0.3513432,198,52,0.6515151515151515,0.6151211801896733,0.448,0.3835616438356164,0.5384615384615384,0.6917808219178082,0.5511841551951969,0.10667151539506695,0.6979715489989462,0.5138500929612457
downstream_plus_age_sex,1,20260606,1,level_1_vs_higher,validation_youden,0.51957443,198,164,0.8535353535353535,0.8299856527977044,0.9073482428115016,0.9530201342281879,0.8658536585365854,0.7941176470588235,0.34052759234771357,0.050094383176398555,0.9001972740315639,0.977450723951491
downstream_plus_age_sex,1,20260606,1,level_3_vs_lower,validation_youden,0.43476042,198,52,0.7272727272727273,0.6231559536354057,0.4375,0.4772727272727273,0.40384615384615385,0.8424657534246576,0.5584622801870457,0.08254796460036941,0.6631322444678609,0.47232425296755914
downstream_plus_age_sex,1,20260606,2,level_1_vs_higher,validation_youden,0.6920408869204089,198,164,0.6464646464646465,0.728299856527977,0.7388059701492538,0.9519230769230769,0.6036585365853658,0.8529411764705882,0.48149751126061474,0.0753595981098957,0.8205703012912482,0.9275098630624224
downstream_plus_age_sex,1,20260606,2,level_3_vs_lower,validation_youden,0.46538276465382766,198,52,0.7373737373737373,0.5866701791359326,0.35,0.5,0.2692307692307692,0.9041095890410958,0.5708859250485092,0.03697775406777378,0.6438356164383562,0.39119507015169414
downstream_plus_age_sex,1,20260606,3,level_1_vs_higher,validation_youden,0.6350789736492103,197,163,0.7461928934010152,0.7418801876578853,0.8299319727891157,0.9312977099236641,0.7484662576687117,0.7352941176470589,0.413399307059428,0.06578685246850606,0.8215445687477445,0.9487950708224955
downstream_plus_age_sex,1,20260606,3,level_3_vs_lower,validation_youden,0.350955,197,51,0.5989847715736041,0.5316948697287134,0.33613445378151263,0.29411764705882354,0.39215686274509803,0.6712328767123288,0.6181821298183325,0.07198693123900197,0.5519742143432715,0.3243542300631624
downstream_plus_age_sex,1,20260606,4,level_1_vs_higher,validation_youden,0.66246823,197,163,0.7208121827411168,0.7614579574160952,0.8056537102473498,0.95,0.6993865030674846,0.8235294117647058,0.4083394675968475,0.08702383875589116,0.8342656080837243,0.9568918928914509
downstream_plus_age_sex,1,20260606,4,level_3_vs_lower,validation_youden,0.35189055,197,51,0.6649746192893401,0.6081117378458233,0.43103448275862066,0.38461538461538464,0.49019607843137253,0.726027397260274,0.5575318924692109,0.06606353959384087,0.6495433789954339,0.4009712707673939
downstream_plus_age_sex,2,20260607,0,level_1_vs_higher,validation_youden,0.5751236742487633,198,164,0.7777777777777778,0.7143113342898135,0.8580645161290322,0.910958904109589,0.8109756097560976,0.6176470588235294,0.4250304907268254,0.07078936868393831,0.8131276901004303,0.9466371975033869
downstream_plus_age_sex,2,20260607,0,level_3_vs_lower,validation_youden,0.37591206,198,52,0.6515151515151515,0.5284510010537408,0.28865979381443296,0.3111111111111111,0.2692307692307692,0.7876712328767124,0.5882757019341339,0.11270872348120772,0.5414251844046364,0.3400251438248384
downstream_plus_age_sex,2,20260607,1,level_1_vs_higher,validation_youden,0.5701354342986458,198,164,0.8333333333333334,0.8177905308464849,0.8932038834951457,0.9517241379310345,0.8414634146341463,0.7941176470588235,0.36127881482985275,0.10625214960065912,0.8951757532281206,0.9725779461769264
downstream_plus_age_sex,2,20260607,1,level_3_vs_lower,validation_youden,0.2884587871154122,198,52,0.45454545454545453,0.5929926238145415,0.46,0.3108108108108108,0.8846153846153846,0.3013698630136986,0.5554813007178194,0.09974847660499474,0.6896074815595363,0.46956406264265976
downstream_plus_age_sex,2,20260607,2,level_1_vs_higher,validation_youden,0.64901268,198,164,0.7171717171717171,0.7360114777618364,0.8055555555555556,0.9354838709677419,0.7073170731707317,0.7647058823529411,0.41667407270685,0.06469915430204959,0.8207496413199427,0.9503225409878756
downstream_plus_age_sex,2,20260607,2,level_3_vs_lower,validation_youden,0.35135291,198,52,0.6212121212121212,0.613145416227608,0.45255474452554745,0.36470588235294116,0.5961538461538461,0.6301369863013698,0.5330159467162184,0.08095590303787159,0.6865779768177028,0.5035824835609688
downstream_plus_age_sex,2,20260607,3,level_1_vs_higher,validation_youden,0.6654738600000001,197,163,0.7157360406091371,0.7816672681342476,0.7985611510791367,0.9652173913043478,0.6809815950920245,0.8823529411764706,0.47160403284601193,0.06871079935841455,0.8319198845182245,0.9391947705009974
downstream_plus_age_sex,2,20260607,3,level_3_vs_lower,validation_youden,0.32724425,197,51,0.6446700507614214,0.6007923717432178,0.4262295081967213,0.36619718309859156,0.5098039215686274,0.6917808219178082,0.6017664574813301,0.0703548516652504,0.6585414987912974,0.3641727544693237
downstream_plus_age_sex,2,20260607,4,level_1_vs_higher,validation_youden,0.69072528,197,163,0.751269035532995,0.8264164561530134,0.8256227758007118,0.9830508474576272,0.7116564417177914,0.9411764705882353,0.33394185137675675,0.08506549617798476,0.9095092024539878,0.9800301304869166
downstream_plus_age_sex,2,20260607,4,level_3_vs_lower,validation_youden,0.48665554,197,51,0.7411167512690355,0.5765511684125705,0.32,0.5,0.23529411764705882,0.9178082191780822,0.5616229783384029,0.05817167981917491,0.6539752887456354,0.43515791864018805
downstream_plus_age_sex,3,20260608,0,level_1_vs_higher,validation_youden,0.6019102599999999,198,164,0.8131313131313131,0.8172525107604017,0.8778877887788779,0.9568345323741008,0.8109756097560976,0.8235294117647058,0.35929696493778335,0.09406978388128748,0.8883608321377332,0.9734797158868311
downstream_plus_age_sex,3,20260608,0,level_3_vs_lower,validation_youden,0.44036976,198,52,0.7070707070707071,0.5413593256059009,0.2564102564102564,0.38461538461538464,0.19230769230769232,0.8904109589041096,0.5823192291036546,0.07610279505076284,0.5848261327713382,0.36824904839675454
