repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,1,val,majority_class,class_prior,1,1,0
1,20260606,1,val,majority_class,class_prior,1,2,34
1,20260606,1,val,majority_class,class_prior,1,3,0
1,20260606,1,val,majority_class,class_prior,2,1,0
1,20260606,1,val,majority_class,class_prior,2,2,112
1,20260606,1,val,majority_class,class_prior,2,3,0
1,20260606,1,val,majority_class,class_prior,3,1,0
1,20260606,1,val,majority_class,class_prior,3,2,52
1,20260606,1,val,majority_class,class_prior,3,3,0
1,20260606,1,val,stratified_random,class_prior,1,1,1
1,20260606,1,val,stratified_random,class_prior,1,2,23
1,20260606,1,val,stratified_random,class_prior,1,3,10
1,20260606,1,val,stratified_random,class_prior,2,1,16
1,20260606,1,val,stratified_random,class_prior,2,2,70
1,20260606,1,val,stratified_random,class_prior,2,3,26
1,20260606,1,val,stratified_random,class_prior,3,1,10
1,20260606,1,val,stratified_random,class_prior,3,2,31
1,20260606,1,val,stratified_random,class_prior,3,3,11
1,20260606,1,test,majority_class,class_prior,1,1,0
1,20260606,1,test,majority_class,class_prior,1,2,34
1,20260606,1,test,majority_class,class_prior,1,3,0
1,20260606,1,test,majority_class,class_prior,2,1,0
1,20260606,1,test,majority_class,class_prior,2,2,112
1,20260606,1,test,majority_class,class_prior,2,3,0
1,20260606,1,test,majority_class,class_prior,3,1,0
1,20260606,1,test,majority_class,class_prior,3,2,52
1,20260606,1,test,majority_class,class_prior,3,3,0
1,20260606,1,test,stratified_random,class_prior,1,1,6
1,20260606,1,test,stratified_random,class_prior,1,2,19
1,20260606,1,test,stratified_random,class_prior,1,3,9
1,20260606,1,test,stratified_random,class_prior,2,1,21
1,20260606,1,test,stratified_random,class_prior,2,2,64
1,20260606,1,test,stratified_random,class_prior,2,3,27
1,20260606,1,test,stratified_random,class_prior,3,1,9
1,20260606,1,test,stratified_random,class_prior,3,2,30
1,20260606,1,test,stratified_random,class_prior,3,3,13
1,20260606,1,val,multinomial_logistic,age_sex,1,1,25
1,20260606,1,val,multinomial_logistic,age_sex,1,2,5
1,20260606,1,val,multinomial_logistic,age_sex,1,3,4
1,20260606,1,val,multinomial_logistic,age_sex,2,1,31
1,20260606,1,val,multinomial_logistic,age_sex,2,2,53
1,20260606,1,val,multinomial_logistic,age_sex,2,3,28
1,20260606,1,val,multinomial_logistic,age_sex,3,1,18
1,20260606,1,val,multinomial_logistic,age_sex,3,2,15
1,20260606,1,val,multinomial_logistic,age_sex,3,3,19
1,20260606,1,test,multinomial_logistic,age_sex,1,1,29
1,20260606,1,test,multinomial_logistic,age_sex,1,2,2
1,20260606,1,test,multinomial_logistic,age_sex,1,3,3
1,20260606,1,test,multinomial_logistic,age_sex,2,1,29
1,20260606,1,test,multinomial_logistic,age_sex,2,2,58
1,20260606,1,test,multinomial_logistic,age_sex,2,3,25
1,20260606,1,test,multinomial_logistic,age_sex,3,1,18
1,20260606,1,test,multinomial_logistic,age_sex,3,2,14
1,20260606,1,test,multinomial_logistic,age_sex,3,3,20
1,20260606,1,val,multinomial_logistic,image_geometry_file,1,1,10
1,20260606,1,val,multinomial_logistic,image_geometry_file,1,2,10
1,20260606,1,val,multinomial_logistic,image_geometry_file,1,3,14
