model_id,repeat,seed,fold,subgroup_type,subgroup,n,accuracy,balanced_accuracy,macro_f1
age_sex,3,20260608,4,age_band,age_35_50,62,0.3709677419354839,0.34513634513634517,0.32627348756381014
age_sex,3,20260608,4,age_band,age_<35,81,0.4567901234567901,0.42837883383889447,0.3348342714196373
age_sex,3,20260608,4,age_band,age_>50,54,0.5925925925925926,0.42020202020202024,0.402659069325736
image_efficientnet_b0_temperature_scaled,1,20260606,0,age_band,age_35_50,59,0.576271186440678,0.4854700854700855,0.4582668793195109
image_efficientnet_b0_temperature_scaled,1,20260606,0,age_band,age_<35,82,0.5121951219512195,0.48660298229263743,0.4914326331231191
image_efficientnet_b0_temperature_scaled,1,20260606,0,age_band,age_>50,57,0.6491228070175439,0.623015873015873,0.41960252935862696
image_efficientnet_b0_temperature_scaled,1,20260606,1,age_band,age_35_50,59,0.5423728813559322,0.3730789613142555,0.37155903457273315
image_efficientnet_b0_temperature_scaled,1,20260606,1,age_band,age_<35,86,0.46511627906976744,0.4484962406015038,0.45368421052631575
image_efficientnet_b0_temperature_scaled,1,20260606,1,age_band,age_>50,53,0.5094339622641509,0.3225225225225225,0.3170633319887051
image_efficientnet_b0_temperature_scaled,1,20260606,2,age_band,age_35_50,61,0.6721311475409836,0.5499999999999999,0.533015873015873
image_efficientnet_b0_temperature_scaled,1,20260606,2,age_band,age_<35,86,0.5,0.48717948717948717,0.48447784654681203
image_efficientnet_b0_temperature_scaled,1,20260606,2,age_band,age_>50,51,0.5686274509803921,0.5151515151515151,0.49257759784075567
image_efficientnet_b0_temperature_scaled,1,20260606,3,age_band,age_35_50,66,0.6212121212121212,0.615042735042735,0.4936081638667846
image_efficientnet_b0_temperature_scaled,1,20260606,3,age_band,age_<35,87,0.5747126436781609,0.5655566824430921,0.5689738043739485
image_efficientnet_b0_temperature_scaled,1,20260606,3,age_band,age_>50,44,0.5454545454545454,0.3452380952380953,0.345679012345679
image_efficientnet_b0_temperature_scaled,1,20260606,4,age_band,age_35_50,66,0.5303030303030303,0.3378787878787879,0.3650156180276662
image_efficientnet_b0_temperature_scaled,1,20260606,4,age_band,age_<35,86,0.4418604651162791,0.4406737053795877,0.4412057861378041
image_efficientnet_b0_temperature_scaled,1,20260606,4,age_band,age_>50,45,0.5555555555555556,0.34893267651888343,0.3412698412698412
image_efficientnet_b0_temperature_scaled,2,20260607,0,age_band,age_35_50,66,0.5,0.3925685425685426,0.3838840209322137
image_efficientnet_b0_temperature_scaled,2,20260607,0,age_band,age_<35,87,0.5057471264367817,0.5045045045045046,0.5054875283446713
image_efficientnet_b0_temperature_scaled,2,20260607,0,age_band,age_>50,45,0.6888888888888889,0.4695340501792115,0.4688888888888889
image_efficientnet_b0_temperature_scaled,2,20260607,1,age_band,age_35_50,58,0.5689655172413793,0.48888888888888893,0.4444444444444444
image_efficientnet_b0_temperature_scaled,2,20260607,1,age_band,age_<35,90,0.5,0.4816849816849817,0.48356505276419304
image_efficientnet_b0_temperature_scaled,2,20260607,1,age_band,age_>50,50,0.42,0.2443181818181818,0.24632352941176472
image_efficientnet_b0_temperature_scaled,2,20260607,2,age_band,age_35_50,66,0.5909090909090909,0.4078995939461056,0.4106280193236715
image_efficientnet_b0_temperature_scaled,2,20260607,2,age_band,age_<35,88,0.4772727272727273,0.4611111111111111,0.4630905326557501
image_efficientnet_b0_temperature_scaled,2,20260607,2,age_band,age_>50,44,0.5,0.2811671087533157,0.27060931899641577
image_efficientnet_b0_temperature_scaled,2,20260607,3,age_band,age_35_50,62,0.43548387096774194,0.45535714285714285,0.374937343358396
image_efficientnet_b0_temperature_scaled,2,20260607,3,age_band,age_<35,79,0.4430379746835443,0.4361655773420479,0.4314685314685314
image_efficientnet_b0_temperature_scaled,2,20260607,3,age_band,age_>50,56,0.5178571428571429,0.32116402116402115,0.3142554319024908
image_efficientnet_b0_temperature_scaled,2,20260607,4,age_band,age_35_50,59,0.559322033898305,0.5284552845528455,0.4705882352941176
image_efficientnet_b0_temperature_scaled,2,20260607,4,age_band,age_<35,83,0.5060240963855421,0.5172113289760348,0.5003515631698993
image_efficientnet_b0_temperature_scaled,2,20260607,4,age_band,age_>50,55,0.5636363636363636,0.5821428571428571,0.38022988505747124
image_efficientnet_b0_temperature_scaled,3,20260608,0,age_band,age_35_50,71,0.5211267605633803,0.5287037037037037,0.45178481649069885
image_efficientnet_b0_temperature_scaled,3,20260608,0,age_band,age_<35,84,0.5,0.49575145223087386,0.5021621621621621
image_efficientnet_b0_temperature_scaled,3,20260608,0,age_band,age_>50,43,0.5348837209302325,0.4878787878787879,0.33730158730158727
image_efficientnet_b0_temperature_scaled,3,20260608,1,age_band,age_35_50,53,0.4716981132075472,0.551994301994302,0.4348232185164935
image_efficientnet_b0_temperature_scaled,3,20260608,1,age_band,age_<35,93,0.46236559139784944,0.4604601230823004,0.46042468023892175
image_efficientnet_b0_temperature_scaled,3,20260608,1,age_band,age_>50,52,0.5576923076923077,0.33585858585858586,0.3308746048472076
image_efficientnet_b0_temperature_scaled,3,20260608,2,age_band,age_35_50,64,0.59375,0.7551020408163266,0.49484126984126986
image_efficientnet_b0_temperature_scaled,3,20260608,2,age_band,age_<35,91,0.5384615384615384,0.5261297182349814,0.5243607870861317
image_efficientnet_b0_temperature_scaled,3,20260608,2,age_band,age_>50,43,0.6511627906976745,0.6222222222222222,0.6217008797653959
image_efficientnet_b0_temperature_scaled,3,20260608,3,age_band,age_35_50,61,0.5409836065573771,0.37878787878787873,0.3785858585858586
