repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.6-0.7,40,0.65092255,0.50000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.7-0.8,35,0.74863664,0.60000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.8-0.9,29,0.84526975,0.51724138
1,20260606,2,test,frozen_encoder_logistic,resnet50,raw,0.9-1.0,26,0.94120479,0.57692308
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,12,0.37594493,0.16666667
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,78,0.44835106,0.52564103
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,62,0.54518213,0.56451613
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,29,0.64924070,0.58620690
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,12,0.74776449,0.41666667
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,5,0.82878427,0.80000000
1,20260606,2,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.3-0.4,2,0.38185112,0.50000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.4-0.5,25,0.45145257,0.56000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.5-0.6,31,0.55813177,0.38709677
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.6-0.7,38,0.65590901,0.44736842
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.7-0.8,38,0.75043717,0.60526316
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.8-0.9,40,0.85065456,0.55000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,raw,0.9-1.0,23,0.94026897,0.78260870
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,20,0.38054279,0.55000000
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,55,0.45790139,0.45454545
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,67,0.54643456,0.53731343
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,38,0.64248776,0.57894737
1,20260606,2,val,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,13,0.74213838,0.76923077
