model_id,model_label,kind,repeat,seed,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,two_grade_error_rate,quadratic_weighted_kappa,ece_10,ovr_auroc,severe_balanced_accuracy,severe_sensitivity,severe_specificity,severe_f1,severe_auroc,severe_ece_10,severe_tp,severe_fp,severe_tn,severe_fn
image_plus_age_sex,Image plus age/sex,metadata_sensitivity,2,20260607,988,0.5182186234817814,0.4982007143942848,0.4867978705774953,0.5232793522267206,0.04149797570850203,0.3334880012253302,0.03229048781477404,0.6804888949838849,0.6294414357013911,0.6821705426356589,0.5767123287671233,0.4737550471063257,0.6756026335350961,0.062265565932579654,176,309,421,82
image_plus_age_sex,Image plus age/sex,metadata_sensitivity,3,20260608,988,0.5293522267206477,0.5007914793824507,0.493679821809258,0.5080971659919028,0.03744939271255061,0.34734022056259983,0.04314259703273661,0.6819724747445487,0.6364394180736965,0.6317829457364341,0.6410958904109589,0.4773060029282577,0.6877508760751831,0.05365548904621768,163,262,468,95
image_plus_downstream_age_sex_upper_bound,Image plus downstream upper bound,upper_bound,1,20260606,988,0.5394736842105263,0.5169994354330879,0.5081626476097926,0.4939271255060729,0.03340080971659919,0.3749463279158788,0.06429190492664731,0.6847036250001991,0.6394286927896358,0.6007751937984496,0.678082191780822,0.4783950617283951,0.6811351810555378,0.04542254701297914,155,235,495,103
image_plus_downstream_age_sex_upper_bound,Image plus downstream upper bound,upper_bound,2,20260607,988,0.5182186234817814,0.4982286713134867,0.48740695655328564,0.521255060728745,0.039473684210526314,0.33911627088512786,0.040092656966268084,0.6808845378534589,0.6293246256769671,0.686046511627907,0.5726027397260274,0.4738955823293173,0.6760592545396623,0.06222985222801362,177,312,418,81
image_plus_downstream_age_sex_upper_bound,Image plus downstream upper bound,upper_bound,3,20260608,988,0.5273279352226721,0.49890425162312985,0.49183249603866414,0.5101214574898786,0.03744939271255061,0.3450740407728866,0.03953627224732471,0.6818216617591052,0.6409843899330997,0.6627906976744186,0.6191780821917808,0.4837340876944837,0.6868057767866624,0.048596398807020484,171,278,452,87
image_resnet50,Whole-image ResNet50,image_only,1,20260606,988,0.5445344129554656,0.4861702820663149,0.4876278110624104,0.5020242914979757,0.0465587044534413,0.2860008259099758,0.050236365614255346,0.6712363757272254,0.6116969310820857,0.5891472868217055,0.6342465753424658,0.44903988183161003,0.6535945630243177,0.04383326309891085,152,267,463,106
image_resnet50,Whole-image ResNet50,image_only,2,20260607,988,0.5425101214574899,0.48093908105878014,0.4829462737206549,0.5,0.04251012145748988,0.29533070088845015,0.05486152234446585,0.6667280312304716,0.6059626207921843,0.46124031007751937,0.7506849315068493,0.4257602862254025,0.6462726983115642,0.0389426520579404,119,182,548,139
image_resnet50,Whole-image ResNet50,image_only,3,20260608,988,0.5435222672064778,0.47203140946301003,0.4764202493331857,0.5010121457489879,0.044534412955465584,0.27610405931883875,0.052680172180051166,0.669697395491928,0.6124933630667941,0.4263565891472868,0.7986301369863014,0.42718446601941745,0.6444780715726877,0.04836390849373807,110,147,583,148
image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,image_only,1,20260606,988,0.569838056680162,0.5368350053199574,0.5327207714633914,0.4625506072874494,0.032388663967611336,0.3916054822498215,0.024249417521623722,0.7122670896062621,0.6401985770415206,0.6434108527131783,0.636986301369863,0.4818577648766328,0.7007964319847085,0.05968787481924304,166,265,465,92
image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,image_only,2,20260607,988,0.5748987854251012,0.5445766291012529,0.5357968162972958,0.4665991902834008,0.04149797570850203,0.3775854467828387,0.05845365554062782,0.7098729835143739,0.6379420197515132,0.6046511627906976,0.6712328767123288,0.47706422018348627,0.6971647021344377,0.057789711651928984,156,240,490,102
image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,image_only,3,20260608,988,0.569838056680162,0.5380607669424359,0.5332212292303194,0.46558704453441296,0.0354251012145749,0.3788905336673499,0.051779182890486976,0.7051775295734548,0.6138472974407986,0.4496124031007752,0.7780821917808219,0.43283582089552236,0.6823192099394711,0.050938963676647735,116,162,568,142
majority_class,Majority class,baseline,1,20260606,988,0.5668016194331984,0.3333333333333333,0.24117140396210165,0.4331983805668016,0.0,0.0,2.256299920122551e-06,0.49876084808701515,0.5,1.0,0.0,0.41412520064205455,0.49806201550387597,2.942715179365951e-06,258,730,0,0
majority_class,Majority class,baseline,2,20260607,988,0.5668016194331984,0.3333333333333333,0.24117140396210165,0.4331983805668016,0.0,0.0,2.256299920122551e-06,0.49876084808701515,0.5,1.0,0.0,0.41412520064205455,0.49806201550387597,2.942715179365951e-06,258,730,0,0
majority_class,Majority class,baseline,3,20260608,988,0.5668016194331984,0.3333333333333333,0.24117140396210165,0.4331983805668016,0.0,0.0,2.256299920122551e-06,0.49876084808701515,0.5,1.0,0.0,0.41412520064205455,0.49806201550387597,2.942715179365951e-06,258,730,0,0
