repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,13,0.84359843,0.46153846
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,1,0.91222834,1.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,33,0.37742193,0.42424242
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,95,0.44598127,0.46315789
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,47,0.54224842,0.68085106
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,19,0.64642084,0.68421053
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,4,0.73908848,1.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,13,0.37410119,0.30769231
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,70,0.45305924,0.50000000
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,59,0.54556917,0.50847458
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,28,0.64858054,0.64285714
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,17,0.73870513,0.70588235
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,11,0.83029032,0.72727273
1,20260606,4,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,13,0.38157538,0.23076923
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,65,0.45497213,0.41538462
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,57,0.54413429,0.45614035
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,25,0.64501511,0.56000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,30,0.73438636,0.50000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,7,0.85702386,1.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,1,0.90676789,1.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,15,0.38057537,0.26666667
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,70,0.45284469,0.41428571
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,56,0.54181832,0.46428571
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,27,0.65091340,0.55555556
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,22,0.72001181,0.50000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,8,0.84191168,1.00000000
2,20260607,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,10,0.38412066,0.30000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,62,0.45052292,0.48387097
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,61,0.55077535,0.62295082
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,37,0.64216272,0.51351351
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,17,0.74850845,0.52941176
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,10,0.84019575,0.80000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,1,0.90458974,1.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
2,20260607,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
