accuracy,balanced_accuracy,ece_10,macro_f1,model_id,model_label,n,ordinal_mae,positive_severe_n,quadratic_weighted_kappa,severe_auroc,severe_balanced_accuracy,severe_sensitivity,severe_specificity,subgroup,subgroup_type
0.6288659793814433,0.4798238696109358,0.16928461653991678,0.385189582156523,age_sex,Age/sex guardrail,485,0.44329896907216493,120,0.0467833031053243,0.4221118721461187,0.4958904109589041,0.0,0.9917808219178083,gender_1,gender
0.5467196819085487,0.546567858214858,0.033634670667860134,0.5431240441820213,image_efficientnet_b0,Whole-image EfficientNet-B0,503,0.49304174950298213,138,0.45595072670597503,0.7823903116934683,0.6939150287869764,0.7028985507246377,0.684931506849315,gender_0,gender
0.5360824742268041,0.41589992989835256,0.04461637412167903,0.41127989776773183,image_efficientnet_b0,Whole-image EfficientNet-B0,485,0.488659793814433,120,0.2126280564039087,0.6167351598173516,0.5806506849315068,0.575,0.5863013698630137,gender_1,gender
0.588469184890656,0.5857182384993161,0.07090935868915628,0.5849242448586901,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,503,0.441351888667992,138,0.5164162705346447,0.7911653762160016,0.6973198332340679,0.6521739130434783,0.7424657534246575,gender_0,gender
0.5876288659793815,0.46891430073606727,0.030891077242357467,0.463156853395279,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,485,0.44948453608247424,120,0.2006255353388534,0.6127397260273972,0.5703196347031964,0.4666666666666667,0.673972602739726,gender_1,gender
0.5263157894736842,0.5854807618166397,0.07582367623242042,0.5165777340254994,age_sex,Age/sex guardrail,228,0.5394736842105263,55,0.38411016949152543,0.6449290593799264,0.5707304256437205,0.3090909090909091,0.8323699421965318,aspect_high,aspect_ratio_tertile
0.5615615615615616,0.5321451875767332,0.09272947155677812,0.4758848340363104,age_sex,Age/sex guardrail,333,0.5555555555555556,93,0.16378791784824265,0.5241263440860215,0.5424731182795699,0.11827956989247312,0.9666666666666667,aspect_low,aspect_ratio_tertile
0.468384074941452,0.5350745517698455,0.05236892038741749,0.4583937198067633,age_sex,Age/sex guardrail,427,0.6323185011709602,110,0.25099530923568125,0.5994694579868082,0.608244909664468,0.33636363636363636,0.8801261829652997,aspect_mid,aspect_ratio_tertile
0.5482456140350878,0.5048995957392904,0.09806848493779778,0.5044599981599195,image_efficientnet_b0,Whole-image EfficientNet-B0,228,0.47368421052631576,55,0.3877941109543531,0.7019442984760904,0.6588018917498686,0.6181818181818182,0.6994219653179191,aspect_high,aspect_ratio_tertile
0.5375375375375375,0.5042692223242754,0.0347510824839462,0.5021284291733813,image_efficientnet_b0,Whole-image EfficientNet-B0,333,0.4924924924924925,93,0.3773550393268704,0.706989247311828,0.6234543010752689,0.6344086021505376,0.6125,aspect_low,aspect_ratio_tertile
