repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,5,0.38041667,0.20000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,39,0.46372787,0.53846154
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,30,0.54974428,0.50000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,29,0.64707395,0.51724138
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,41,0.75463580,0.58536585
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,36,0.83886010,0.61111111
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,18,0.93933298,0.72222222
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,17,0.38056041,0.52941176
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,58,0.45176563,0.46551724
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,46,0.55692845,0.58695652
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,51,0.64572725,0.58823529
1,20260606,4,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,19,0.74556989,0.68421053
